n_states,cps,total,seed,desc,pool_f1,pool_auc,cssi_max_f1,cssi_max_auc,cssi_mean_f1,cssi_mean_auc,est_f1,est_auc,n_true_edges
2,100,200,0,"N=200, 2 states",0.7857142857142857,0.967824967824968,0.9285714285714286,0.9961389961389961,0.8571428571428571,0.990990990990991,0.5,0.8616473616473617,14
2,100,200,1,"N=200, 2 states",0.7857142857142857,0.9851994851994852,1.0,1.0,0.9285714285714286,0.9916344916344916,0.5714285714285714,0.938867438867439,14
2,100,200,2,"N=200, 2 states",0.9285714285714286,0.9671814671814671,0.9285714285714286,0.9980694980694981,0.8571428571428571,0.9954954954954955,0.6428571428571429,0.8526383526383526,14
2,100,200,3,"N=200, 2 states",0.8571428571428571,0.9691119691119692,0.8571428571428571,0.9922779922779923,0.8571428571428571,0.9948519948519948,0.5714285714285714,0.9131274131274131,14
2,100,200,4,"N=200, 2 states",0.7857142857142857,0.9041184041184042,0.9285714285714286,0.9768339768339769,0.9285714285714286,0.9858429858429859,0.5714285714285714,0.87001287001287,14
2,100,200,5,"N=200, 2 states",0.8571428571428571,0.9935649935649935,1.0,1.0,1.0,1.0,0.5714285714285714,0.9498069498069498,14
2,100,200,6,"N=200, 2 states",0.8571428571428571,0.9626769626769627,1.0,1.0,1.0,1.0,0.5714285714285714,0.925997425997426,14
2,100,200,7,"N=200, 2 states",0.8571428571428571,0.9954954954954955,1.0,1.0,0.9285714285714286,0.9987129987129987,0.7142857142857143,0.8442728442728442,14
2,100,200,8,"N=200, 2 states",0.9285714285714286,0.9987129987129987,1.0,1.0,0.9285714285714286,0.9993564993564993,0.7857142857142857,0.9182754182754183,14
2,100,200,9,"N=200, 2 states",0.8571428571428571,0.9916344916344916,0.9285714285714286,0.9993564993564993,0.9285714285714286,0.9974259974259974,0.5,0.8545688545688546,14
4,100,400,0,"N=400, 4 states",0.6428571428571429,0.9407979407979408,0.7857142857142857,0.9864864864864864,0.7142857142857143,0.9395109395109396,0.2857142857142857,0.6287001287001288,14
4,100,400,1,"N=400, 4 states",0.8571428571428571,0.9633204633204635,0.8571428571428571,0.9832689832689833,0.7142857142857143,0.9581724581724581,0.35714285714285715,0.7908622908622909,14
4,100,400,2,"N=400, 4 states",0.5714285714285714,0.9575289575289576,0.8571428571428571,0.9961389961389961,0.7142857142857143,0.935006435006435,0.14285714285714285,0.575933075933076,14
4,100,400,3,"N=400, 4 states",0.6428571428571429,0.9465894465894465,0.9285714285714286,0.9980694980694981,0.7857142857142857,0.9897039897039897,0.2857142857142857,0.6827541827541828,14
4,100,400,4,"N=400, 4 states",0.7142857142857143,0.9498069498069498,1.0,1.0,0.8571428571428571,0.990990990990991,0.21428571428571427,0.5772200772200773,14
4,100,400,5,"N=400, 4 states",0.5714285714285714,0.907979407979408,0.9285714285714286,0.9974259974259975,0.8571428571428571,0.9922779922779923,0.2857142857142857,0.722007722007722,14
4,100,400,6,"N=400, 4 states",0.6428571428571429,0.904118404118404,0.9285714285714286,0.9967824967824968,0.7857142857142857,0.9755469755469756,0.35714285714285715,0.6879021879021879,14
4,100,400,7,"N=400, 4 states",0.5714285714285714,0.8416988416988418,0.9285714285714286,0.9987129987129987,0.7142857142857143,0.9684684684684686,0.2857142857142857,0.6840411840411841,14
4,100,400,8,"N=400, 4 states",0.5714285714285714,0.8796653796653797,1.0,1.0,0.7857142857142857,0.989060489060489,0.2857142857142857,0.6093951093951094,14
4,100,400,9,"N=400, 4 states",0.7857142857142857,0.9691119691119692,1.0,1.0,0.7857142857142857,0.9761904761904762,0.35714285714285715,0.6306306306306306,14
6,100,600,0,"N=600, 6 states",0.5714285714285714,0.9131274131274132,0.9285714285714286,0.9967824967824969,0.7142857142857143,0.9761904761904762,0.2857142857142857,0.6209781209781209,14
6,100,600,1,"N=600, 6 states",0.42857142857142855,0.8108108108108109,0.7857142857142857,0.9794079794079794,0.6428571428571429,0.9375804375804375,0.14285714285714285,0.472972972972973,14
6,100,600,2,"N=600, 6 states",0.42857142857142855,0.7516087516087515,0.9285714285714286,0.9987129987129987,0.8571428571428571,0.9414414414414415,0.2857142857142857,0.5643500643500643,14
6,100,600,3,"N=600, 6 states",0.42857142857142855,0.7007722007722008,0.7857142857142857,0.9942084942084942,0.5,0.8931788931788931,0.35714285714285715,0.5714285714285714,14
6,100,600,4,"N=600, 6 states",0.5714285714285714,0.9266409266409266,0.9285714285714286,0.9980694980694981,0.8571428571428571,0.9851994851994852,0.21428571428571427,0.6338481338481339,14
6,100,600,5,"N=600, 6 states",0.5,0.8275418275418276,0.9285714285714286,0.9967824967824968,0.7142857142857143,0.9485199485199485,0.21428571428571427,0.5804375804375803,14
6,100,600,6,"N=600, 6 states",0.35714285714285715,0.8835263835263836,1.0,1.0,0.7857142857142857,0.9774774774774775,0.35714285714285715,0.6666666666666666,14
6,100,600,7,"N=600, 6 states",0.6428571428571429,0.8262548262548263,0.9285714285714286,0.9993564993564993,0.6428571428571429,0.9144144144144145,0.07142857142857142,0.49227799227799224,14
6,100,600,8,"N=600, 6 states",0.35714285714285715,0.824967824967825,0.9285714285714286,0.9929214929214929,0.7857142857142857,0.9395109395109394,0.2857142857142857,0.7232947232947233,14
6,100,600,9,"N=600, 6 states",0.5714285714285714,0.7934362934362934,0.8571428571428571,0.98005148005148,0.7142857142857143,0.9028314028314028,0.35714285714285715,0.7007722007722008,14
8,125,1000,0,"N=1000, 8 states",0.6666666666666666,0.9179646936656283,1.0,1.0,0.7777777777777778,0.9730010384215991,0.2222222222222222,0.4449636552440291,18
8,125,1000,1,"N=1000, 8 states",0.5,0.778816199376947,0.9444444444444444,0.998442367601246,0.6111111111111112,0.9439252336448598,0.3333333333333333,0.5898234683281413,18
8,125,1000,2,"N=1000, 8 states",0.6111111111111112,0.942367601246106,0.9444444444444444,0.9994807892004154,0.6666666666666666,0.9496365524402908,0.2777777777777778,0.6163032191069574,18
8,125,1000,3,"N=1000, 8 states",0.6111111111111112,0.8779854620976116,0.9444444444444444,0.9740394600207685,0.6111111111111112,0.8946002076843198,0.2777777777777778,0.555036344755971,18
8,125,1000,4,"N=1000, 8 states",0.5,0.9278296988577361,1.0,1.0,0.7222222222222222,0.9475597092419522,0.3333333333333333,0.6064382139148494,18
8,125,1000,5,"N=1000, 8 states",0.5,0.8156801661474559,1.0,1.0,0.6666666666666666,0.9231568016614746,0.16666666666666666,0.5716510903426791,18
8,125,1000,6,"N=1000, 8 states",0.5555555555555556,0.8920041536863967,0.9444444444444444,0.9989615784008308,0.6666666666666666,0.9719626168224299,0.2777777777777778,0.5659397715472482,18
8,125,1000,7,"N=1000, 8 states",0.5,0.7943925233644861,0.9444444444444444,0.9916926272066459,0.8333333333333334,0.9631360332294912,0.16666666666666666,0.43406022845275183,18
8,125,1000,8,"N=1000, 8 states",0.6666666666666666,0.8966770508826584,1.0,1.0,0.7222222222222222,0.9460020768431985,0.5,0.7336448598130841,18
8,125,1000,9,"N=1000, 8 states",0.3888888888888889,0.6401869158878505,0.9444444444444444,0.9994807892004154,0.7777777777777778,0.9709241952232606,0.2222222222222222,0.5462097611630322,18
10,100,1000,0,"N=1000, 10 states",0.5,0.6919682259488085,0.8181818181818182,0.9669020300088261,0.7272727272727273,0.9024713150926743,0.22727272727272727,0.5953221535745807,22
10,100,1000,1,"N=1000, 10 states",0.5454545454545454,0.7687555163283318,0.9545454545454546,0.9916151809355693,0.7727272727272727,0.9223300970873787,0.22727272727272727,0.6248896734333627,22
10,100,1000,2,"N=1000, 10 states",0.5,0.7700794351279788,0.9090909090909091,0.9902912621359223,0.7272727272727273,0.9090909090909091,0.4090909090909091,0.6425419240953222,22
10,100,1000,3,"N=1000, 10 states",0.5,0.767431597528685,0.9545454545454546,0.998676081200353,0.6818181818181818,0.8989408649602825,0.13636363636363635,0.4201235657546337,22
10,100,1000,4,"N=1000, 10 states",0.36363636363636365,0.7215357458075905,0.9090909090909091,0.9894086496028245,0.7272727272727273,0.9307149161518093,0.2727272727272727,0.5022065313327448,22
10,100,1000,5,"N=1000, 10 states",0.6363636363636364,0.8627537511032657,1.0,1.0,0.5909090909090909,0.8605472197705207,0.22727272727272727,0.5741394527802295,22
10,100,1000,6,"N=1000, 10 states",0.5,0.7625772285966461,0.9545454545454546,0.997793468667255,0.7727272727272727,0.9501323918799647,0.2727272727272727,0.5741394527802295,22
10,100,1000,7,"N=1000, 10 states",0.5909090909090909,0.7969991173874669,0.9090909090909091,0.9969108561341571,0.6363636363636364,0.93909973521624,0.18181818181818182,0.5070609002647838,22
10,100,1000,8,"N=1000, 10 states",0.5909090909090909,0.8596646072374228,0.9545454545454546,0.9964695498676082,0.5909090909090909,0.9368932038834952,0.18181818181818182,0.587819947043248,22
10,100,1000,9,"N=1000, 10 states",0.4090909090909091,0.7113857016769638,0.9545454545454546,0.997793468667255,0.6363636363636364,0.8998234774933804,0.2727272727272727,0.5772285966460723,22
12,125,1500,0,"N=1500, 12 states",0.5,0.7940947940947941,0.9230769230769231,0.998057498057498,0.6538461538461539,0.8679098679098679,0.19230769230769232,0.5143745143745144,26
12,125,1500,1,"N=1500, 12 states",0.5384615384615384,0.7494172494172494,0.9615384615384616,0.9988344988344988,0.7692307692307693,0.9576534576534577,0.34615384615384615,0.6216006216006215,26
12,125,1500,2,"N=1500, 12 states",0.5384615384615384,0.728049728049728,0.9615384615384616,0.9988344988344988,0.7692307692307693,0.944055944055944,0.23076923076923078,0.5392385392385393,26
12,125,1500,3,"N=1500, 12 states",0.5384615384615384,0.7921522921522922,0.8846153846153846,0.991064491064491,0.7692307692307693,0.9063714063714063,0.3076923076923077,0.5955710955710957,26
12,125,1500,4,"N=1500, 12 states",0.4230769230769231,0.752913752913753,0.9615384615384616,0.9933954933954934,0.6538461538461539,0.9370629370629371,0.2692307692307692,0.5885780885780886,26
12,125,1500,5,"N=1500, 12 states",0.5384615384615384,0.8018648018648019,0.9615384615384616,0.9992229992229993,0.6538461538461539,0.8927738927738927,0.19230769230769232,0.46658896658896654,26
12,125,1500,6,"N=1500, 12 states",0.5384615384615384,0.8010878010878011,0.9230769230769231,0.998057498057498,0.7307692307692306,0.9114219114219113,0.23076923076923078,0.5811965811965812,26
12,125,1500,7,"N=1500, 12 states",0.5769230769230769,0.8139083139083139,0.9230769230769231,0.9922299922299922,0.7307692307692306,0.9149184149184149,0.3076923076923077,0.5264180264180265,26
12,125,1500,8,"N=1500, 12 states",0.5384615384615384,0.7801087801087802,0.9615384615384616,0.9996114996114996,0.7307692307692306,0.9529914529914529,0.34615384615384615,0.5862470862470862,26
12,125,1500,9,"N=1500, 12 states",0.5384615384615384,0.7451437451437452,0.9615384615384616,0.9902874902874903,0.8461538461538461,0.9522144522144522,0.23076923076923078,0.5326340326340326,26
